transaction_id,date,store_id,customer_id,product_id,quantity,payment_method,discount_pct,unit_price,line_total
T500000,2024-12-04,S108,C1062,P10088,1,QR,0.0,6.96,6.96
T500001,2024-05-26,S106,C1028,P10079,1,Card,0.0,7.21,7.21
T500002,2024-09-27,S103,C1274,P10081,3,QR,0.0,10.09,30.27
T500003,2024-05-18,S103,C1284,P10000,4,QR,0.0,6.6,26.4
T500004,2024-06-29,S103,C1069,P10103,1,Card,0.0,8.17,8.17
T500005,2024-01-30,S106,C1278,P10064,1,Cash,0.0,16.69,16.69
T500006,2024-02-26,S101,C1230,P10000,1,Cash,0.0,6.91,6.91
T500007,2024-08-19,S100,C1254,P10114,1,Cash,0.15,17.64,14.99
T500008,2024-05-25,S108,C1171,P10084,2,Card,0.1,3.34,6.01
T500009,2024-02-17,S103,C1179,P10059,1,Cash,0.0,6.92,6.92
T500010,2024-07-12,S101,C1263,P10024,2,Cash,0.0,9.06,18.12
T500011,2024-08-11,S103,C1182,P10090,2,Cash,0.0,51.75,103.5
T500012,2024-05-15,S111,C1204,P10009,1,Cash,0.0,5.79,5.79
T500013,2024-01-22,S110,C1248,P10049,2,Card,0.05,21.6,41.04
T500014,2024-01-06,S106,C1212,P10011,1,Cash,0.0,9.75,9.75
T500015,2024-07-22,S103,C1158,P10091,1,Card,0.05,6.06,5.76
T500016,2024-08-26,S103,C1099,P10112,2,Cash,0.0,5.34,10.68
T500017,2024-07-03,S111,C1111,P10031,1,Card,0.0,7.73,7.73
T500018,2024-12-25,S111,C1165,P10032,1,Cash,0.0,4.79,4.79
T500019,2024-10-18,S103,C1035,P10071,3,Card,0.05,1.68,4.79
T500020,2024-11-30,S109,C1111,P10105,1,Card,0.0,11.63,11.63
T500021,2024-08-07,S103,C1086,P10025,1,Card,0.15,6.79,5.77
T500022,2024-04-25,S103,C1182,P10041,2,Card,0.0,9.34,18.68
T500023,2024-11-08,S105,C1084,P10049,1,Card,0.0,21.3,21.3
T500024,2024-02-18,S103,C1268,P10060,3,Cash,0.0,6.33,18.99
T500025,2024-06-21,S111,C1164,P10040,1,Card,0.0,5.53,5.53
T500026,2024-03-22,S101,C1089,P10056,1,QR,0.0,8.88,8.88
T500027,2024-11-17,S103,C1237,P10001,2,QR,0.0,1.66,3.32
T500028,2024-11-28,S110,C1021,P10098,1,Card,0.0,4.04,4.04
T500029,2024-02-14,S110,C1166,P10097,2,Card,0.0,4.95,9.9
T500030,2024-11-30,S102,C1214,P10069,3,Card,0.0,7.59,22.77
T500031,2024-01-20,S103,C1057,P10030,2,Card,0.0,10.1,20.2
T500032,2024-08-08,S104,C1029,P10022,1,Card,0.0,3.85,3.85
T500033,2024-05-02,S102,C1105,P10075,1,Card,0.2,12.24,9.79
