enrollment_id,date,present
ENR8000,2025-02-11,False
ENR8000,2025-02-18,True
ENR8000,2025-02-25,True
ENR8000,2025-03-04,True
ENR8000,2025-03-11,True
ENR8000,2025-03-18,True
ENR8000,2025-03-25,True
ENR8000,2025-04-01,True
ENR8000,2025-04-08,True
ENR8001,2025-03-17,True
ENR8001,2025-03-24,True
ENR8001,2025-03-31,False
ENR8001,2025-04-07,True
ENR8001,2025-04-14,True
ENR8001,2025-04-21,True
ENR8001,2025-04-28,True
ENR8001,2025-05-05,True
ENR8001,2025-05-12,True
ENR8001,2025-05-19,False
ENR8001,2025-05-26,True
ENR8001,2025-06-02,True
ENR8002,2024-12-03,True
ENR8002,2024-12-10,True
ENR8002,2024-12-17,True
ENR8002,2024-12-24,True
ENR8002,2024-12-31,True
ENR8002,2025-01-07,True
ENR8002,2025-01-14,True
ENR8002,2025-01-21,True
ENR8003,2024-12-24,True
ENR8003,2024-12-31,True
ENR8003,2025-01-07,True
ENR8003,2025-01-14,True
ENR8003,2025-01-21,True
ENR8003,2025-01-28,True
ENR8003,2025-02-04,True
ENR8003,2025-02-11,True
ENR8004,2024-11-11,True
ENR8004,2024-11-18,True
ENR8004,2024-11-25,True
ENR8004,2024-12-02,True
ENR8004,2024-12-09,True
ENR8004,2024-12-16,True
ENR8004,2024-12-23,True
ENR8004,2024-12-30,True
ENR8005,2025-02-01,True
ENR8005,2025-02-08,True
ENR8005,2025-02-15,True
ENR8005,2025-02-22,True
ENR8005,2025-03-01,True
ENR8005,2025-03-08,True
ENR8005,2025-03-15,True
ENR8005,2025-03-22,False
ENR8005,2025-03-29,True
ENR8005,2025-04-05,True
ENR8005,2025-04-12,True
ENR8005,2025-04-19,True
ENR8005,2025-04-26,True
ENR8006,2025-06-14,True
ENR8006,2025-06-21,True
ENR8006,2025-06-28,True
ENR8006,2025-07-05,True
ENR8006,2025-07-12,True
ENR8006,2025-07-19,False
ENR8006,2025-07-26,True
ENR8006,2025-08-02,True
ENR8006,2025-08-09,False
ENR8006,2025-08-16,True
ENR8006,2025-08-23,False
ENR8006,2025-08-30,True
ENR8006,2025-09-06,True
ENR8006,2025-09-13,False
ENR8006,2025-09-20,True
ENR8007,2025-05-12,True
ENR8007,2025-05-19,False
ENR8007,2025-05-26,True
ENR8007,2025-06-02,True
ENR8007,2025-06-09,True
ENR8007,2025-06-16,False
ENR8007,2025-06-23,True
ENR8007,2025-06-30,True
ENR8007,2025-07-07,True
ENR8007,2025-07-14,True
ENR8007,2025-07-21,True
ENR8007,2025-07-28,False
ENR8007,2025-08-04,True
ENR8008,2025-02-27,True
ENR8008,2025-03-06,True
ENR8008,2025-03-13,True
ENR8008,2025-03-20,True
ENR8008,2025-03-27,True
ENR8008,2025-04-03,True
ENR8008,2025-04-10,True
ENR8008,2025-04-17,True
ENR8008,2025-04-24,True
ENR8008,2025-05-01,True
ENR8008,2025-05-08,True
ENR8008,2025-05-15,True
ENR8009,2024-09-08,True
ENR8009,2024-09-15,True
ENR8009,2024-09-22,True
ENR8009,2024-09-29,False
ENR8009,2024-10-06,True
ENR8009,2024-10-13,True
ENR8009,2024-10-20,True
ENR8009,2024-10-27,True
